t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference
12.56,-0.62941,-0.048420000000000005,-1.9904083855593735,-0.31751029752280857,11.9,-7.489979000000001,-0.050217870351955164
12.64,-0.48251000000000005,-0.06456,-1.678657674568146,-0.4465250358302293,11.9,-5.741869,-0.11668203931685125
12.72,-0.34578000000000003,-0.07801000000000001,-1.2470028439649083,-0.5417501998190399,11.9,-4.114782000000001,-0.1819679570115501
12.8,-0.19549,-0.07263,-0.7194247176720626,-0.5955063407804654,11.9,-2.326331,-0.24541636845645246
12.88,-0.07345,-0.07263,-0.2398082392240209,-0.6108652381980153,11.9,-0.874055,-0.30638657374765954
12.96,-0.05763,-0.08070000000000001,0.0,-0.6108652381980153,11.9,-0.685797,-0.3642628978228455
13.040000000000001,-0.0791,-0.09684000000000001,0.0,-0.6108652381980153,11.9,-0.9412900000000001,-0.41846090752713355
13.120000000000001,-0.07458000000000001,-0.09684000000000001,0.0,-0.6108652381980153,11.9,-0.8875020000000001,-0.4684333131992331
13.200000000000001,-0.08701,-0.1076,0.0,-0.6108652381980153,11.9,-1.035419,-0.51367549518386
13.280000000000001,-0.08927,-0.1076,0.0,-0.6108652381980153,11.9,-1.062313,-0.5537305994638759
13.36,-0.09605000000000001,-0.11835999999999999,0.0,-0.6108652381980153,11.9,-1.1429950000000002,-0.5881941509566353
13.44,-0.09944000000000001,-0.11298,0.0,-0.6108652381980153,11.9,-1.1833360000000002,-0.6167181378896388
13.52,-0.10282999999999999,-0.11567,0.0,-0.6108652381980153,11.9,-1.223677,-0.6390145260115835
13.6,-0.08249000000000001,-0.12104999999999999,0.0,-0.6108652381980153,11.9,-0.9816310000000001,-0.6548581671524589
13.68,-0.08927,-0.12373999999999999,0.0,-0.6108652381980153,11.9,-1.062313,-0.6640890727621149
13.76,-0.09492,-0.12912,0.0,-0.6108652381980153,11.9,-1.129548,-0.6666140294692107
13.84,-0.09944000000000001,-0.11298,0.0,-0.6108652381980153,11.9,-1.1833360000000002,-0.6624075403466725
13.92,-0.06441,-0.06994,0.0,-0.6108652381980153,11.9,-0.7664789999999999,-0.6515120823787959
14.0,0.00113,-0.03497,0.0,-0.6108652381980153,11.9,0.013446999999999999,-0.6340376775301024
14.08,0.08023,-0.03497,0.1678657674568146,-0.5924345612969552,11.9,0.954737,-0.6101607817472783
14.16,0.20453,-0.029589999999999998,0.43165483060323756,-0.555573207494835,11.9,2.433907,-0.5801225031130167
14.24,0.19662,-0.07263,0.5995205980600522,-0.5048888460169199,11.9,2.339778,-0.5442261671447899
14.32,0.28928,-0.024210000000000002,0.6474822459048563,-0.4526685947972493,11.9,3.4424319999999997,-0.5028342538240695
14.4,0.24634,-0.00269,0.6474822459048563,-0.3989124538358242,11.9,2.931446,-0.45636473728579247
14.48,0.20905,0.01614,0.6235014219824542,-0.34822809235790864,11.9,2.4876950000000004,-0.40528686512973644
14.56,0.26668,-0.01614,0.551558950215248,-0.3067590693305233,11.9,3.173492,-0.3501164199741982
14.64,0.21018,-0.04304,0.43165483060323756,-0.27143360527015825,11.9,2.501142,-0.29141051110062255
14.72,0.18984,0.01614,0.3597123588360313,-0.24071581043505796,11.9,2.259096,-0.22976194878301148
14.8,0.30849,0.01345,0.6714630698272585,-0.18081611050661262,11.9,3.671031,-0.16579325810990272
14.88,0.40906,0.0269,1.0071946047408877,-0.09634217471008721,11.9,4.867814,-0.10015039274717036
14.96,0.51076,0.04304,1.342926139654517,0.014241886696273687,11.9,6.078044,-0.033496212119847144
15.040000000000001,0.53336,0.061869999999999994,1.5587535549561355,0.1401848455201844,11.9,6.346984,0.03349621211984616
15.120000000000001,0.54692,0.061869999999999994,1.6546768506457439,0.27227136331111534,11.9,6.508348,0.10015039274717172
15.200000000000001,0.45652000000000004,0.06456,1.5107919071113316,0.38899898368449626,11.9,5.432588000000001,0.16579325810990408
15.280000000000001,0.33561,0.06994,1.1510795482753002,0.47654469896453167,11.9,3.9937590000000003,0.22976194878301276
15.36,0.21696000000000001,0.09146,0.6474822459048563,0.5256931707006922,11.9,2.581824,0.29141051110062166
15.44,0.10282999999999999,0.10222,0.263789063146423,0.5425879578599972,11.9,1.223677,0.35011641997419735
15.52,0.09831,0.10222,0.0,0.5425879578599972,11.9,1.169889,0.4052868651297357
15.6,0.08814,0.12104999999999999,0.0,0.5425879578599972,11.9,1.048866,0.45636473728579174
15.68,0.11639000000000001,0.12104999999999999,0.0,0.5425879578599972,11.9,1.3850410000000002,0.5028342538240689
15.76,0.09831,0.12643,0.0,0.5425879578599972,11.9,1.169889,0.5442261671447893
15.84,0.13108,0.13719,0.0,0.5425879578599972,11.9,1.559852,0.5801225031130163
15.92,0.1017,0.1345,0.0,0.5425879578599972,11.9,1.21023,0.6101607817472778
16.0,0.12543,0.14526,0.0,0.5425879578599972,11.9,1.4926170000000003,0.6340376775301022
16.080000000000002,0.12656,0.14526,0.0,0.5425879578599972,11.9,1.506064,0.6515120823787957
16.16,0.11639000000000001,0.15333,0.0,0.5425879578599972,11.9,1.3850410000000002,0.6624075403466723
16.240000000000002,0.12317,0.15871000000000002,0.0,0.5425879578599972,11.9,1.465723,0.6666140294692107
16.32,0.1469,0.16678,0.0,0.5425879578599972,11.9,1.74811,0.6640890727621149
16.4,0.11074,0.11835999999999999,0.0,0.5425879578599972,11.9,1.317806,0.6548581671524596
16.48,0.06554,0.061869999999999994,0.0,0.5425879578599972,11.9,0.779926,0.6390145260115838
16.56,0.04407,0.03497,0.0,0.5425879578599972,11.9,0.524433,0.6167181378896391
16.64,0.013560000000000001,0.029589999999999998,0.0,0.5410520681182422,11.9,0.161364,0.5881941509566359
16.72,-0.05311,0.01076,-0.1678657674568146,0.5241572809589368,11.9,-0.632009,0.5537305994638765
16.8,-0.04746,0.0,-0.263789063146423,0.5011189348326117,11.9,-0.564774,0.5136754951838591
16.88,-0.23843,0.01614,-0.45563565452563964,0.46118580154698163,11.9,-2.837317,0.4684333131992338
16.96,-0.07458000000000001,-0.01076,-0.5755397741376501,0.4135732195525763,11.9,-0.8875020000000001,0.4184609075271343
17.04,-0.30058,0.01345,-0.5995205980600522,0.36596063755817076,11.9,-3.5769020000000005,0.36426289782284627
17.12,-0.20114,-0.00269,-0.5035973023704439,0.3244916145307859,11.9,-2.3935660000000003,0.3063865737476583
17.2,-0.34013,-0.00538,-0.8633096612064751,0.2507689069265451,11.9,-4.047547,0.24541636845645337
17.28,-0.49945999999999996,-0.0269,-1.2230220200425064,0.14786429422895941,11.9,-5.943574,0.18196795701154878
17.36,-0.64523,-0.03228,-1.7266193224129502,0.006562437987498448,11.9,-7.678237,0.11668203931685107
17.44,-0.6746099999999999,-0.04304,-1.9904083855593735,-0.15317009515502256,11.9,-8.027859,0.05021787035195496
17.52,-0.61698,-0.04573,-2.0383700334041777,-0.31597440778105335,11.9,-7.342062,-0.01675339696222337
17.6,-0.46442999999999995,-0.0538,-1.7026384984905483,-0.4465250358302293,11.9,-5.526717,-0.0835554890428708
17.68,-0.30284,-0.06994,-1.1750603721977022,-0.5371425305937749,11.9,-3.603796,-0.1495138406329203
17.76,-0.14012,-0.06994,-0.5995205980600522,-0.5801474433629151,11.9,-1.667428,-0.21396240653813972
17.84,-0.06215,-0.07263,-0.09592329568960835,-0.5862910023299353,11.9,-0.7395849999999999,-0.27625038732885454
17.92,-0.05085,-0.06994,0.0,-0.5847551125881802,11.9,-0.605115,-0.3357488010905083
18.0,-0.0565,-0.08608,0.0,-0.5862910023299353,11.9,-0.67235,-0.3918568348616483
18.080000000000002,-0.07006,-0.09684000000000001,0.0,-0.5847551125881802,11.9,-0.833714,-0.44400791162283443
18.16,-0.0791,-0.10491,0.0,-0.5862910023299353,11.9,-0.9412900000000001,-0.4916754115721163
18.240000000000002,-0.07571,-0.1076,0.0,-0.5847551125881802,11.9,-0.900949,-0.5343779899139183
18.32,-0.07345,-0.11028999999999999,0.0,-0.5847551125881802,11.9,-0.874055,-0.5716844374624345
18.400000000000002,-0.08023,-0.11835999999999999,0.0,-0.5847551125881802,11.9,-0.954737,-0.6032180349773473
18.48,-0.09831,-0.12104999999999999,0.0,-0.5847551125881802,11.9,-1.169889,-0.6286603572619098
18.56,-0.10396000000000001,-0.11028999999999999,0.0,-0.5847551125881802,11.9,-1.2371240000000001,-0.6477544886097822
18.64,-0.10396000000000001,-0.12104999999999999,0.0,-0.5862910023299353,11.9,-1.2371240000000001,-0.6603076171311006
18.72,-0.07684,-0.11567,0.0,-0.5862910023299353,11.9,-0.9143960000000001,-0.6661929817603927
18.8,-0.10509,-0.13181,0.0,-0.5862910023299353,11.9,-1.250571,-0.6653511522855143
18.88,-0.07345,-0.09415,0.0,-0.5862910023299353,11.9,-0.874055,-0.6577906294719122
18.96,-0.054240000000000003,-0.05649,0.0,-0.5862910023299353,11.9,-0.645456,-0.6435877592221828
19.04,-0.022600000000000002,-0.03497,0.0,-0.5847551125881802,11.9,-0.26894,-0.6228859616377415
19.12,0.00226,-0.03497,0.09592329568960835,-0.5740038843958951,11.9,0.026893999999999998,-0.5958942827675091
19.2,0.06215,-0.0269,0.2398082392240209,-0.55403731775308,11.9,0.7395849999999999,-0.5628852836680109
19.28,0.027120000000000002,-0.03497,0.3117507109912271,-0.5263913024014899,11.9,0.322728,-0.5241922880910783
19.36,0.04859,-0.05649,0.3836931827584334,-0.4941376178246346,11.9,0.578221,-0.48020601659193823
19.44,0.11526,0.00807,0.551558950215248,-0.4465250358302293,11.9,1.371594,-0.4313706410462961
19.52,0.34804,0.01614,0.6235014219824542,-0.39737656409406896,11.9,4.141676,-0.378179299417839
19.6,0.32657,0.00538,0.5995205980600522,-0.34822809235790864,11.9,3.8861830000000004,-0.32116911606780907
19.68,0.2034,0.024210000000000002,0.5035973023704439,-0.30829495907227833,11.9,2.42046,-0.26091577789146875
19.76,0.15933,0.00807,0.4076740066808355,-0.27604127449542326,11.9,1.8960270000000001,-0.19802772105135658
19.84,0.34578000000000003,0.01614,0.6474822459048563,-0.21921335405048792,11.9,4.114782000000001,-0.13313998700960641
19.92,0.44409,0.029589999999999998,1.0791370765080939,-0.1285958592869425,11.9,5.284671,-0.06690780990080877
