t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,torque_hip_from_ref,position_from_julia_hip
11.28,0.15029,0.16678,0.09592329568960835,0.6393490115905629,11.9,1.7884510000000002,0.6661929817603929,0.05759586531581684,-0.03152209471508449,-0.7199483164476761,-0.8992808970900874,-1.048470524964495,0.4102415584523888,0.6659118968742179
11.36,0.11074,0.1345,0.023980823922402087,0.6408849013323179,11.9,1.317806,0.660307617131101,0.009599310885968215,-0.11524058219131295,-0.4799655442984797,-0.5995205980600516,-1.0392079966710035,0.40718937527045,0.6597516638822037
11.44,0.04746,0.06456,0.0,0.6408849013323179,11.9,0.564774,0.6477544886097828,-0.019198621771939983,-0.1977953741824452,-0.8399397025222765,-0.1498801495150129,-1.0194515813213336,0.4006299940516512,0.6470392026961999
11.52,-0.04068000000000001,0.029589999999999998,0.0,0.6378131218488075,11.9,-0.48409200000000013,0.6286603572619097,-0.12479104151759612,-0.27835283520272647,-1.4998923259326016,-1.0491610466050905,-0.9894007785266994,0.3905262393690453,0.6279415969072369
11.6,-0.08023,0.0269,-0.1678657674568146,0.6209183346895024,11.9,-0.954737,0.6032180349773466,-0.25918139392115647,-0.3560994987467172,-1.3799009398579964,-1.6486816446651422,-0.9493590402731253,0.37683213050473946,0.6026640160928121
11.68,-0.11978,0.024210000000000002,-0.263789063146423,0.5963440988214224,11.9,-1.425382,0.5716844374624349,-0.34557519189487573,-0.43025028164642665,-1.079922474671487,-1.1990411961201033,-0.8997307066735893,0.35950585837159443,0.5714441666322734
11.76,-0.15933,0.01076,-0.3597123588360313,0.5656263039863223,11.9,-1.8960270000000001,0.5343779899139183,-0.43196898986859456,-0.5000564118144917,-0.9599310885968904,-1.04916104660509,-0.8410169229552671,0.33852566313895216,0.534551371114238
11.84,-0.18306,0.02152,-0.43165483060323756,0.5272290604424472,11.9,-2.178414,0.49167541157211614,-0.4991641660703783,-0.5648129893192695,-0.7199483164476712,-0.8992808970900779,-0.7738105789120455,0.31390725393559915,0.49229080323607693
11.92,-0.2147,0.00269,-0.5035973023704439,0.4857600374150617,11.9,-2.55493,0.4440079116228351,-0.547160720500222,-0.623866104440419,-0.6599526234103443,-0.5995205980600522,-0.6987903219236253,0.2857211810943333,0.445012420748349
12.0,-0.24634,-0.00269,-0.527578126292846,0.4396833451624116,11.9,-2.931446,0.391856834861649,-0.6047565858160335,-0.6766194408270496,-0.6599526234103528,-0.5995205980600513,-0.6167137039970854,0.2541084493199977,0.39312285255656626
